"Figure 5: London continues to have the highest average house price in England	",,,,,,,,,
"Average house price, by English region, January 2005 to December 2022	",,,,,,,,,
,,,,,,,,,
Notes,"1. Data at the local authority level and other breakdowns can be found in the [HMLR's UK House Price Index (HPI) release on GOV.UK](https://www.gov.uk/government/collections/uk-house-price-index-reports)'. 

",,,,,,,,
Unit,"£	",,,,,,,,
,,,,,,,,,
,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West
Jan-05,111474,118939,118923,135281,140028,175323,232422,195620,175838
Feb-05,110454,117630,120419,136774,141548,173555,231321,196482,176020
Mar-05,112596,120919,121650,137121,141930,173743,231263,196494,176376
Apr-05,115579,123118,122183,138634,143202,174294,235367,197998,177112
May-05,117007,125769,124992,140205,144167,177100,235685,198849,177973
Jun-05,118615,127557,126353,139707,146219,178067,235899,199220,178555
Jul-05,121318,128994,127946,141437,147649,179281,237872,200336,180979
Aug-05,123066,130263,129053,142518,148529,178969,237971,200950,180356
Sep-05,121255,130291,129295,141382,147680,179366,236916,201181,180846
Oct-05,121647,129915,129477,142601,147573,178385,234298,199322,180883
Nov-05,123245,130312,129596,142597,148518,178199,236561,200577,180778
Dec-05,123089,132554,130416,142296,148914,179512,238377,200784,181798
Jan-06,123039,130144,130043,140443,147576,178992,239846,201252,181152
Feb-06,121124,131609,130998,140814,148738,179220,239115,201878,180356
Mar-06,123786,131139,131602,141418,148994,180623,241380,202726,183672
Apr-06,126215,135797,134859,145425,150422,183445,245474,205285,185201
May-06,126767,136328,135180,145116,154180,185049,247591,208458,187087
Jun-06,129083,138412,136554,146426,153497,185328,251417,209556,189380
Jul-06,130283,139630,138362,149079,153551,189027,253883,211719,191277
Aug-06,129962,140071,139890,149752,155921,190703,256704,213017,193535
Sep-06,131628,141339,140053,148304,156665,190772,257541,214854,193878
Oct-06,131788,141121,140644,149835,156493,192058,259115,214634,195904
Nov-06,130774,142273,141286,150106,157410,192726,258814,216507,197357
Dec-06,134036,143832,143129,151841,158291,194903,264494,219389,198583
Jan-07,132508,142760,141824,151360,157384,194994,267658,220546,197597
Feb-07,131175,143625,142084,152008,157787,195405,270780,219879,198960
Mar-07,132120,143912,142716,152595,158644,197034,273479,221581,201839
Apr-07,135047,146541,146140,154051,161809,199474,278805,225548,202684
May-07,135645,147774,147844,154459,162202,201392,282726,230061,205886
Jun-07,137655,149942,149372,156216,162624,204908,285958,231684,207413
Jul-07,139400,150382,149681,157902,163918,206815,295694,235796,210108
Aug-07,138535,151511,149887,159023,165807,208231,297653,236007,211402
Sep-07,138306,151088,149366,159537,165011,209102,298414,238302,212666
Oct-07,137946,151346,150233,157562,165390,208926,298559,238845,211641
Nov-07,138832,150751,149918,157962,164201,209624,297648,238670,211624
Dec-07,138507,152427,150186,157244,165241,209409,297994,237099,209153
Jan-08,135418,148289,147225,153065,161758,207691,298596,235300,207936
Feb-08,135027,146830,146749,153034,162208,205848,295700,231825,203729
