Price,House Type,Area in sq ft,No. of Bedrooms,Location,Post Code Category
1675000,House,2716,5,Wimbledon,CENTRAL LONDON
650000,Flat / Apartment,814,2,Clerkenwell,CITY OF LONDON
735000,Flat / Apartment,761,2,Putney,CENTRAL LONDON
1765000,House,1986,4,Putney,CENTRAL LONDON
675000,Flat / Apartment,700,2,Putney,CENTRAL LONDON
650000,New development,560,1, Fulham,CENTRAL LONDON
2500000,House,2974,6,Highgate,NORTH LONDON
725000,Flat / Apartment,778,2, St. John's Wood,NORTH WEST LONDON
750000,Flat / Apartment,647,2,17 Abercorn Place,NORTH WEST LONDON
12500000,House,4596,6,Regents Park,NORTH WEST LONDON
2275000,New development,1173,3,Primrose Hill,NORTH WEST LONDON
5500000,House,3016,4,Marylebone,CENTRAL LONDON
8950000,New development,3154,4,10 Draycott Avenue,CENTRAL LONDON
550000,Flat / Apartment,479,1,Islington,NORTH LONDON
1300000,House,1101,3, Islington,NORTH LONDON
800000,Flat / Apartment,1177,3,South Hampstead,NORTH WEST LONDON
3500000,House,2331,4,Belsize Park,NORTH WEST LONDON
1100000,Flat / Apartment,582,2,20-21 Wetherby Gardens,CENTRAL LONDON
1735000,House,2118,4,Chiswick,WEST LONDON
2350000,House,2297,5,Chiswick,WEST LONDON
1200000,House,1351,4,Chiswick,WEST LONDON
850000,House,1177,3,Barnes,CENTRAL LONDON
1599950,House,1884,4,Fulham,CENTRAL LONDON
9975000,House,10100,10, Battersea,CENTRAL LONDON
1999999,Flat / Apartment,1608,3, Victoria,CENTRAL LONDON
725000,House,884,3,South Hackney,EAST LONDON
1750000,Flat / Apartment,1232,2,Grove End Road,NORTH WEST LONDON
1250000,New development,1307,3,Crouch End,NORTH LONDON
3350000,Penthouse,2185,3,Coleridge Gardens,CENTRAL LONDON
1000000,Flat / Apartment,1228,3,Battersea,CENTRAL LONDON
2350000,House,2511,4,Barnes,CENTRAL LONDON
2095000,Flat / Apartment,1528,3,Chelsea Harbour,CENTRAL LONDON
1250000,Flat / Apartment,811,2, Bayswater,CENTRAL LONDON
875000,House,1132,4,Tooting,CENTRAL LONDON
820000,House,974,3,Morgan Street,EAST LONDON
830000,Flat / Apartment,850,2,Regent's Park,NORTH WEST LONDON
500000,Flat / Apartment,458,1,Kentish Town,NORTH WEST LONDON
7500000,House,3851,6,St John's Wood,NORTH WEST LONDON
749950,Flat / Apartment,1382,3,Putney,CENTRAL LONDON
3500000,House,1763,4,Marylebone,CENTRAL LONDON
2100000,Flat / Apartment,1208,3,Marylebone,CENTRAL LONDON
650000,New development,1023,2, Ealing,WEST LONDON
625000,House,1348,4,Kidbrooke,SOUTH EAST LONDON
625000,Flat / Apartment,540,1,Clerkenwell,CITY OF LONDON
1100000,New development,791,2,Westminster,CENTRAL LONDON
1500000,House,1811,4,Hackney,EAST LONDON
799995,Flat / Apartment,942,3, Canary Wharf,EAST LONDON
2595000,House,2120,5,Fulham,CENTRAL LONDON
820000,Flat / Apartment,631,2, Westminster,CENTRAL LONDON
2300000,House,2083,5,Barnes,CENTRAL LONDON
4000000,House,3714,5,Barnes,CENTRAL LONDON
1275000,Flat / Apartment,1185,3,Little Venice,CENTRAL LONDON
1750000,House,2125,4,Hampstead,NORTH WEST LONDON
2600000,House,2350,4,Hampstead,NORTH WEST LONDON
3450000,House,2354,4, Hampstead,NORTH WEST LONDON
2375000,Flat / Apartment,1218,2,St. James's,CENTRAL LONDON
1995000,House,1841,5,Wimbledon,CENTRAL LONDON
1000000,House,1154,4,South Hackney,EAST LONDON
