,City of London,Barking & Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith & Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington & Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster,,Inner London,Outer London,,NORTH EAST,NORTH WEST,YORKS & THE HUMBER,EAST MIDLANDS,WEST MIDLANDS,EAST OF ENGLAND,LONDON,SOUTH EAST,SOUTH WEST,,England
,E09000001,E09000002,E09000003,E09000004,E09000005,E09000006,E09000007,E09000008,E09000009,E09000010,E09000011,E09000012,E09000013,E09000014,E09000015,E09000016,E09000017,E09000018,E09000019,E09000020,E09000021,E09000022,E09000023,E09000024,E09000025,E09000026,E09000027,E09000028,E09000029,E09000030,E09000031,E09000032,E09000033,,E13000001,E13000002,,E12000001,E12000002,E12000003,E12000004,E12000005,E12000006,E12000007,E12000008,E12000009,,E92000001
Jan-95,"91,449","50,460","93,285","64,958","71,307","81,671","120,933","69,158","79,886","72,515","62,300","61,297","124,903","76,288","84,770","68,000","73,835","72,232","92,516","182,695","80,876","67,771","60,491","82,071","53,539","72,190","109,326","67,885","71,537","59,865","61,319","88,559","133,025",,"78,252","72,959",,"42,076","43,958","44,803","45,545","48,528","56,702","74,436","64,019","54,705",,"53,203"
Feb-95,"82,203","51,086","93,190","64,788","72,022","81,658","119,509","68,951","80,897","73,155","60,993","63,187","122,088","78,901","83,396","69,394","75,031","71,052","94,342","182,345","81,230","65,382","60,869","79,983","53,154","72,142","111,103","64,799","70,893","62,319","60,252","88,641","131,468",,"75,886","72,938",,"42,572","43,925","44,529","46,052","49,341","56,594","72,778","63,715","54,356",,"53,096"
Mar-95,"79,121","51,269","92,248","64,367","72,016","81,449","120,282","68,712","81,380","72,190","61,378","63,593","120,636","78,522","83,416","69,368","74,189","72,098","93,466","182,879","81,111","66,337","60,288","80,662","53,458","72,501","107,325","65,763","70,307","63,939","60,871","87,125","132,260",,"76,592","72,715",,"42,370","44,435","45,200","45,384","49,442","56,171","73,897","64,114","53,583",,"53,201"
Apr-95,"77,101","53,134","90,763","64,278","72,966","81,124","120,098","68,610","82,189","71,443","61,928","65,140","121,425","79,546","83,568","69,444","73,911","71,890","93,344","184,177","81,673","66,389","59,471","79,991","54,480","72,229","106,875","63,074","69,412","66,233","60,971","87,026","133,370",,"76,852","72,592",,"42,096","44,268","45,614","46,124","49,456","56,568","74,455","64,623","54,786",,"53,591"
May-95,"84,409","53,042","90,258","63,997","73,704","81,543","119,929","68,845","82,077","70,631","63,513","66,194","124,434","79,374","83,854","68,535","73,117","72,877","94,346","191,474","82,124","69,035","58,551","80,874","55,804","72,367","107,708","64,420","69,759","66,433","61,494","86,518","133,911",,"79,129","72,753",,"43,266","44,224","44,831","45,878","50,370","56,480","75,432","64,530","54,699",,"53,678"
Jun-95,"94,901","53,700","90,107","64,252","74,310","82,383","121,887","69,053","81,631","71,348","64,752","66,921","126,175","79,956","84,173","68,465","74,005","72,331","97,429","197,266","82,206","68,881","58,041","80,705","56,068","72,279","112,865","64,156","70,125","66,232","61,548","88,114","134,562",,"79,969","73,189",,"42,315","44,113","45,393","45,680","50,100","56,289","75,606","65,511","54,420",,"53,735"
Jul-95,"110,128","52,113","91,441","63,723","74,127","82,899","124,028","69,142","82,352","71,838","65,486","68,391","124,382","80,746","84,227","68,681","74,671","73,718","98,976","197,963","82,526","69,609","58,126","81,056","55,458","72,881","114,657","67,025","70,790","64,692","61,934","89,831","133,450",,"80,550","73,666",,"43,288","44,110","45,535","46,038","49,860","57,242","75,984","65,225","54,266",,"53,901"
Aug-95,"112,329","52,232","92,361","64,433","73,547","82,054","125,530","68,993","82,707","72,238","65,076","68,097","123,625","81,218","84,431","69,023","74,968","74,480","98,951","198,037","83,343","68,840","58,151","80,781","54,709","73,275","112,320","65,526","69,958","63,472","61,916","90,561","136,582",,"80,598","73,691",,"41,899","44,194","45,111","45,923","49,598","56,732","75,529","64,852","54,366",,"53,600"
Sep-95,"104,473","51,472","93,273","64,510","73,790","81,440","120,597","69,394","82,011","71,725","63,997","68,753","123,094","82,143","83,607","68,108","73,844","74,427","99,583","197,048","85,111","70,156","58,743","80,825","54,586","73,204","110,425","63,467","69,937","62,178","61,548","91,374","135,993",,"80,403","73,454",,"41,851","44,088","44,838","45,772","49,320","56,259","74,941","64,352","54,244",,"53,309"
Oct-95,"108,038","51,514","92,567","64,530","73,264","81,862","117,458","68,935","80,523","72,349","63,405","67,620","123,443","81,791","82,493","67,426","72,993","73,643","97,580","200,006","85,727","69,616","58,073","79,569","54,790","72,917","108,407","60,886","69,964","62,066","60,573","90,246","134,513",,"79,682","72,972",,"41,688","43,110","44,310","45,155","49,598","55,240","74,302","64,126","54,265",,"52,845"
Nov-95,"117,636","50,849","90,883","63,846","72,782","82,558","115,419","68,880","79,272","71,988","63,744","67,238","121,930","81,130","82,246","66,182","71,760","73,047","95,030","199,675","84,557","68,054","58,075","79,913","54,324","72,394","109,130","61,725","70,608","62,414","61,543","89,476","131,741",,"78,965","72,623",,"41,728","43,335","44,166","44,967","48,500","55,878","74,118","64,416","53,799",,"52,788"
Dec-95,"127,232","50,945","91,134","63,817","72,524","82,966","118,739","68,407","79,700","72,391","64,105","65,865","122,723","81,327","82,054","66,747","72,746","73,499","91,095","200,722","83,584","67,199","57,700","79,581","54,521","72,587","108,567","62,394","70,205","63,986","61,390","88,478","133,394",,"79,065","72,691",,"42,303","43,374","44,458","45,649","49,030","55,524","75,178","64,261","53,081",,"52,922"
